customer_id,date,type,category,amount,description,month
SBI10001,2024-04-08,debit,medical,375,MEDICAL PURCHASE,4
SBI10001,2024-04-12,debit,fuel,665,FUEL PURCHASE,4
SBI10001,2024-04-15,debit,dining,526,DINING PURCHASE,4
SBI10001,2024-04-16,debit,entertainment,1131,ENTERTAINMENT PURCHASE,4
SBI10001,2024-04-17,debit,travel,3259,TRAVEL PURCHASE,4
SBI10001,2024-04-19,debit,dining,1358,DINING PURCHASE,4
SBI10001,2024-04-24,debit,dining,1699,DINING PURCHASE,4
SBI10001,2024-04-25,debit,travel,4294,TRAVEL PURCHASE,4
SBI10001,2024-04-30,credit,salary,59065,SALARY CREDIT,5
SBI10001,2024-05-02,credit,savings_transfer,3878,SELF TRANSFER TO SAVINGS,5
SBI10001,2024-05-05,debit,emi,10230,EMI PAYMENT,5
SBI10001,2024-05-05,debit,travel,1831,TRAVEL PURCHASE,5
SBI10001,2024-05-06,debit,fuel,1442,FUEL PURCHASE,5
SBI10001,2024-05-08,debit,entertainment,1257,ENTERTAINMENT PURCHASE,5
SBI10001,2024-05-12,debit,entertainment,1403,ENTERTAINMENT PURCHASE,5
SBI10001,2024-05-12,debit,entertainment,1873,ENTERTAINMENT PURCHASE,5
SBI10001,2024-05-12,debit,dining,1432,DINING PURCHASE,5
SBI10001,2024-05-13,debit,dining,1538,DINING PURCHASE,5
SBI10001,2024-05-16,debit,medical,2174,MEDICAL PURCHASE,5
SBI10001,2024-05-17,debit,utilities,715,UTILITIES PURCHASE,5
SBI10001,2024-05-17,debit,groceries,1069,GROCERIES PURCHASE,5
SBI10001,2024-05-17,debit,utilities,775,UTILITIES PURCHASE,5
SBI10001,2024-05-19,debit,shopping,4959,SHOPPING PURCHASE,5
SBI10001,2024-05-30,credit,salary,59468,SALARY CREDIT,6
SBI10001,2024-05-31,debit,entertainment,699,ENTERTAINMENT PURCHASE,6
SBI10001,2024-06-01,credit,savings_transfer,10220,SELF TRANSFER TO SAVINGS,6
SBI10001,2024-06-04,debit,emi,10302,EMI PAYMENT,6
SBI10001,2024-06-04,debit,groceries,2849,GROCERIES PURCHASE,6
SBI10001,2024-06-04,debit,dining,1489,DINING PURCHASE,6
SBI10001,2024-06-05,debit,groceries,1557,GROCERIES PURCHASE,6
SBI10001,2024-06-06,debit,fuel,2919,FUEL PURCHASE,6
SBI10001,2024-06-15,debit,utilities,1180,UTILITIES PURCHASE,6
SBI10001,2024-06-16,debit,dining,1030,DINING PURCHASE,6
SBI10001,2024-06-18,debit,groceries,1101,GROCERIES PURCHASE,6
SBI10001,2024-06-20,debit,dining,1906,DINING PURCHASE,6
SBI10001,2024-06-23,debit,groceries,3481,GROCERIES PURCHASE,6
SBI10001,2024-06-25,debit,entertainment,876,ENTERTAINMENT PURCHASE,6
SBI10002,2024-01-01,credit,salary,28040,SALARY CREDIT,1
SBI10002,2024-01-03,credit,savings_transfer,4825,SELF TRANSFER TO SAVINGS,1
SBI10002,2024-01-06,debit,entertainment,422,ENTERTAINMENT PURCHASE,1
SBI10002,2024-01-07,debit,fuel,1398,FUEL PURCHASE,1
SBI10002,2024-01-07,debit,shopping,6432,SHOPPING PURCHASE,1
SBI10002,2024-01-08,debit,groceries,2641,GROCERIES PURCHASE,1
SBI10002,2024-01-09,debit,utilities,974,UTILITIES PURCHASE,1
SBI10002,2024-01-16,debit,travel,4161,TRAVEL PURCHASE,1
SBI10002,2024-01-16,debit,medical,2643,MEDICAL PURCHASE,1
SBI10002,2024-01-21,debit,entertainment,492,ENTERTAINMENT PURCHASE,1
SBI10002,2024-01-21,debit,dining,1550,DINING PURCHASE,1
SBI10002,2024-01-31,credit,salary,28243,SALARY CREDIT,2
SBI10002,2024-02-02,credit,savings_transfer,5193,SELF TRANSFER TO SAVINGS,2
SBI10002,2024-02-03,debit,utilities,1187,UTILITIES PURCHASE,2
SBI10002,2024-02-08,debit,entertainment,1843,ENTERTAINMENT PURCHASE,2
SBI10002,2024-02-14,debit,utilities,474,UTILITIES PURCHASE,2
SBI10002,2024-02-16,debit,dining,1459,DINING PURCHASE,2
SBI10002,2024-02-16,debit,shopping,6773,SHOPPING PURCHASE,2
SBI10002,2024-02-17,debit,entertainment,1061,ENTERTAINMENT PURCHASE,2
SBI10002,2024-02-19,debit,medical,2559,MEDICAL PURCHASE,2
SBI10002,2024-02-20,debit,dining,397,DINING PURCHASE,2
SBI10002,2024-02-20,debit,dining,1304,DINING PURCHASE,2
SBI10002,2024-02-25,debit,groceries,3279,GROCERIES PURCHASE,2
SBI10002,2024-02-26,debit,groceries,2676,GROCERIES PURCHASE,2
SBI10002,2024-02-26,debit,fuel,2061,FUEL PURCHASE,2
SBI10002,2024-02-28,debit,medical,377,MEDICAL PURCHASE,2
SBI10002,2024-02-28,debit,travel,986,TRAVEL PURCHASE,2
SBI10002,2024-03-01,credit,salary,27653,SALARY CREDIT,3
SBI10002,2024-03-03,credit,savings_transfer,3893,SELF TRANSFER TO SAVINGS,3
SBI10002,2024-03-06,debit,utilities,1072,UTILITIES PURCHASE,3
SBI10002,2024-03-07,debit,fuel,2016,FUEL PURCHASE,3
SBI10002,2024-03-08,debit,shopping,544,SHOPPING PURCHASE,3
SBI10002,2024-03-10,debit,shopping,7503,SHOPPING PURCHASE,3
SBI10002,2024-03-10,debit,fuel,1756,FUEL PURCHASE,3
SBI10002,2024-03-15,debit,medical,1683,MEDICAL PURCHASE,3
SBI10002,2024-03-15,debit,travel,4822,TRAVEL PURCHASE,3
SBI10002,2024-03-18,debit,utilities,214,UTILITIES PURCHASE,3
SBI10002,2024-03-20,debit,groceries,2640,GROCERIES PURCHASE,3
SBI10002,2024-03-20,debit,entertainment,948,ENTERTAINMENT PURCHASE,3
SBI10002,2024-03-22,debit,entertainment,620,ENTERTAINMENT PURCHASE,3
SBI10002,2024-03-23,debit,shopping,3755,SHOPPING PURCHASE,3
SBI10002,2024-03-26,debit,medical,1830,MEDICAL PURCHASE,3
SBI10002,2024-03-29,debit,dining,1969,DINING PURCHASE,3
SBI10002,2024-03-31,credit,salary,28038,SALARY CREDIT,4
SBI10002,2024-04-02,credit,savings_transfer,1890,SELF TRANSFER TO SAVINGS,4
SBI10002,2024-04-03,debit,entertainment,331,ENTERTAINMENT PURCHASE,4
SBI10002,2024-04-06,debit,groceries,2093,GROCERIES PURCHASE,4
SBI10002,2024-04-07,debit,utilities,1241,UTILITIES PURCHASE,4
SBI10002,2024-04-08,debit,shopping,3537,SHOPPING PURCHASE,4
SBI10002,2024-04-13,debit,entertainment,1457,ENTERTAINMENT PURCHASE,4
SBI10002,2024-04-16,debit,dining,1429,DINING PURCHASE,4
SBI10002,2024-04-20,debit,utilities,277,UTILITIES PURCHASE,4
SBI10002,2024-04-23,debit,shopping,5394,SHOPPING PURCHASE,4
SBI10002,2024-04-26,debit,fuel,1162,FUEL PURCHASE,4
SBI10002,2024-04-26,debit,entertainment,893,ENTERTAINMENT PURCHASE,4
SBI10002,2024-04-26,debit,groceries,873,GROCERIES PURCHASE,4
SBI10002,2024-04-30,credit,salary,27421,SALARY CREDIT,5
SBI10002,2024-05-02,credit,savings_transfer,5345,SELF TRANSFER TO SAVINGS,5
SBI10002,2024-05-06,debit,groceries,855,GROCERIES PURCHASE,5
SBI10002,2024-05-07,debit,shopping,775,SHOPPING PURCHASE,5
SBI10002,2024-05-12,debit,groceries,1479,GROCERIES PURCHASE,5
SBI10002,2024-05-15,debit,fuel,543,FUEL PURCHASE,5
SBI10002,2024-05-19,debit,entertainment,610,ENTERTAINMENT PURCHASE,5
SBI10002,2024-05-20,debit,travel,1688,TRAVEL PURCHASE,5
SBI10002,2024-05-22,debit,medical,1818,MEDICAL PURCHASE,5
SBI10002,2024-05-24,debit,groceries,3382,GROCERIES PURCHASE,5
SBI10002,2024-05-25,debit,shopping,3772,SHOPPING PURCHASE,5
SBI10002,2024-05-28,debit,travel,4544,TRAVEL PURCHASE,5
SBI10002,2024-05-30,credit,salary,27433,SALARY CREDIT,6
SBI10002,2024-06-01,credit,savings_transfer,5234,SELF TRANSFER TO SAVINGS,6
SBI10002,2024-06-03,debit,medical,2302,MEDICAL PURCHASE,6
SBI10002,2024-06-08,debit,groceries,1216,GROCERIES PURCHASE,6
SBI10002,2024-06-11,debit,medical,1332,MEDICAL PURCHASE,6
SBI10002,2024-06-12,debit,fuel,2854,FUEL PURCHASE,6
SBI10002,2024-06-16,debit,entertainment,418,ENTERTAINMENT PURCHASE,6
SBI10002,2024-06-16,debit,utilities,802,UTILITIES PURCHASE,6
SBI10002,2024-06-17,debit,shopping,7161,SHOPPING PURCHASE,6
SBI10002,2024-06-18,debit,entertainment,1190,ENTERTAINMENT PURCHASE,6
SBI10002,2024-06-19,debit,travel,1893,TRAVEL PURCHASE,6
SBI10002,2024-06-21,debit,fuel,2387,FUEL PURCHASE,6
SBI10002,2024-06-22,debit,shopping,4127,SHOPPING PURCHASE,6
SBI10002,2024-06-24,debit,travel,3082,TRAVEL PURCHASE,6
SBI10003,2024-01-01,credit,salary,18524,SALARY CREDIT,1
SBI10003,2024-01-03,credit,savings_transfer,2499,SELF TRANSFER TO SAVINGS,1
SBI10003,2024-01-05,debit,fuel,1556,FUEL PURCHASE,1
SBI10003,2024-01-09,debit,shopping,2853,SHOPPING PURCHASE,1
SBI10003,2024-01-14,debit,utilities,1497,UTILITIES PURCHASE,1
SBI10003,2024-01-14,debit,utilities,900,UTILITIES PURCHASE,1
SBI10003,2024-01-15,debit,medical,1646,MEDICAL PURCHASE,1
SBI10003,2024-01-19,debit,utilities,565,UTILITIES PURCHASE,1
SBI10003,2024-01-23,debit,travel,2183,TRAVEL PURCHASE,1
SBI10003,2024-01-24,debit,groceries,3908,GROCERIES PURCHASE,1
SBI10003,2024-01-31,credit,salary,18093,SALARY CREDIT,2
SBI10003,2024-02-02,credit,savings_transfer,1757,SELF TRANSFER TO SAVINGS,2
SBI10003,2024-02-03,debit,utilities,1208,UTILITIES PURCHASE,2
SBI10003,2024-02-05,debit,medical,636,MEDICAL PURCHASE,2
SBI10003,2024-02-06,debit,shopping,6612,SHOPPING PURCHASE,2
SBI10003,2024-02-07,debit,shopping,2377,SHOPPING PURCHASE,2
SBI10003,2024-02-16,debit,travel,1935,TRAVEL PURCHASE,2
SBI10003,2024-02-19,debit,fuel,1625,FUEL PURCHASE,2
SBI10003,2024-02-20,debit,medical,1491,MEDICAL PURCHASE,2
SBI10003,2024-02-24,debit,travel,2282,TRAVEL PURCHASE,2
SBI10003,2024-02-25,debit,groceries,2717,GROCERIES PURCHASE,2
SBI10003,2024-02-27,debit,travel,2345,TRAVEL PURCHASE,2
SBI10003,2024-02-28,debit,groceries,2475,GROCERIES PURCHASE,2
SBI10003,2024-03-01,credit,salary,18108,SALARY CREDIT,3
SBI10003,2024-03-03,credit,savings_transfer,1401,SELF TRANSFER TO SAVINGS,3
SBI10003,2024-03-03,debit,dining,1276,DINING PURCHASE,3
SBI10003,2024-03-07,debit,shopping,4993,SHOPPING PURCHASE,3
SBI10003,2024-03-09,debit,entertainment,1736,ENTERTAINMENT PURCHASE,3
SBI10003,2024-03-09,debit,shopping,2706,SHOPPING PURCHASE,3
SBI10003,2024-03-12,debit,fuel,534,FUEL PURCHASE,3
SBI10003,2024-03-13,debit,medical,2709,MEDICAL PURCHASE,3
SBI10003,2024-03-16,debit,dining,446,DINING PURCHASE,3
SBI10003,2024-03-17,debit,entertainment,1307,ENTERTAINMENT PURCHASE,3
SBI10003,2024-03-18,debit,groceries,1922,GROCERIES PURCHASE,3
SBI10003,2024-03-20,debit,entertainment,406,ENTERTAINMENT PURCHASE,3
SBI10003,2024-03-23,debit,groceries,1363,GROCERIES PURCHASE,3
SBI10003,2024-03-29,debit,entertainment,1605,ENTERTAINMENT PURCHASE,3
SBI10003,2024-03-31,credit,salary,18088,SALARY CREDIT,4
SBI10003,2024-04-02,credit,savings_transfer,3508,SELF TRANSFER TO SAVINGS,4
SBI10003,2024-04-05,debit,travel,1525,TRAVEL PURCHASE,4
SBI10003,2024-04-06,debit,medical,2242,MEDICAL PURCHASE,4
SBI10003,2024-04-07,debit,entertainment,1058,ENTERTAINMENT PURCHASE,4
SBI10003,2024-04-12,debit,medical,1840,MEDICAL PURCHASE,4
SBI10003,2024-04-14,debit,dining,1223,DINING PURCHASE,4
SBI10003,2024-04-15,debit,shopping,1973,SHOPPING PURCHASE,4
SBI10003,2024-04-19,debit,dining,1604,DINING PURCHASE,4
SBI10003,2024-04-26,debit,shopping,2431,SHOPPING PURCHASE,4
SBI10003,2024-04-26,debit,fuel,539,FUEL PURCHASE,4
SBI10003,2024-04-26,debit,medical,2193,MEDICAL PURCHASE,4
SBI10003,2024-04-27,debit,travel,1118,TRAVEL PURCHASE,4
SBI10003,2024-04-28,debit,entertainment,980,ENTERTAINMENT PURCHASE,4
SBI10003,2024-04-28,debit,dining,1491,DINING PURCHASE,4
SBI10003,2024-04-30,credit,salary,17913,SALARY CREDIT,5
SBI10003,2024-05-02,credit,savings_transfer,1586,SELF TRANSFER TO SAVINGS,5
SBI10003,2024-05-02,debit,dining,641,DINING PURCHASE,5
SBI10003,2024-05-04,debit,entertainment,1614,ENTERTAINMENT PURCHASE,5
SBI10003,2024-05-04,debit,entertainment,919,ENTERTAINMENT PURCHASE,5
SBI10003,2024-05-12,debit,shopping,3451,SHOPPING PURCHASE,5
SBI10003,2024-05-12,debit,shopping,662,SHOPPING PURCHASE,5
SBI10003,2024-05-15,debit,utilities,885,UTILITIES PURCHASE,5
SBI10003,2024-05-16,debit,shopping,7372,SHOPPING PURCHASE,5
SBI10003,2024-05-19,debit,travel,4710,TRAVEL PURCHASE,5
SBI10003,2024-05-30,credit,salary,17784,SALARY CREDIT,6
SBI10003,2024-06-01,credit,savings_transfer,3565,SELF TRANSFER TO SAVINGS,6
SBI10003,2024-06-05,debit,utilities,903,UTILITIES PURCHASE,6
SBI10003,2024-06-08,debit,entertainment,1111,ENTERTAINMENT PURCHASE,6
SBI10003,2024-06-10,debit,medical,2957,MEDICAL PURCHASE,6
SBI10003,2024-06-10,debit,travel,2895,TRAVEL PURCHASE,6
SBI10003,2024-06-12,debit,utilities,1456,UTILITIES PURCHASE,6
SBI10003,2024-06-13,debit,medical,2785,MEDICAL PURCHASE,6
SBI10003,2024-06-14,debit,shopping,5674,SHOPPING PURCHASE,6
SBI10003,2024-06-22,debit,shopping,2691,SHOPPING PURCHASE,6
SBI10003,2024-06-23,debit,medical,2604,MEDICAL PURCHASE,6
SBI10003,2024-06-24,debit,fuel,2330,FUEL PURCHASE,6
SBI10003,2024-06-27,debit,dining,543,DINING PURCHASE,6
SBI10003,2024-06-27,debit,entertainment,346,ENTERTAINMENT PURCHASE,6
SBI10004,2024-01-01,credit,salary,24257,SALARY CREDIT,1
SBI10004,2024-01-02,debit,groceries,3657,GROCERIES PURCHASE,1
SBI10004,2024-01-03,credit,savings_transfer,4719,SELF TRANSFER TO SAVINGS,1
SBI10004,2024-01-04,debit,dining,1541,DINING PURCHASE,1
SBI10004,2024-01-05,debit,entertainment,395,ENTERTAINMENT PURCHASE,1
SBI10004,2024-01-05,debit,utilities,737,UTILITIES PURCHASE,1
SBI10004,2024-01-06,debit,groceries,3480,GROCERIES PURCHASE,1
SBI10004,2024-01-07,debit,dining,1949,DINING PURCHASE,1
SBI10004,2024-01-08,debit,utilities,541,UTILITIES PURCHASE,1
SBI10004,2024-01-11,debit,entertainment,669,ENTERTAINMENT PURCHASE,1
SBI10004,2024-01-17,debit,utilities,1323,UTILITIES PURCHASE,1
SBI10004,2024-01-18,debit,entertainment,1766,ENTERTAINMENT PURCHASE,1
SBI10004,2024-01-18,debit,dining,1917,DINING PURCHASE,1
SBI10004,2024-01-22,debit,fuel,1017,FUEL PURCHASE,1
SBI10004,2024-01-23,debit,travel,2361,TRAVEL PURCHASE,1
SBI10004,2024-01-25,debit,travel,2627,TRAVEL PURCHASE,1
SBI10004,2024-01-31,credit,salary,23898,SALARY CREDIT,2
SBI10004,2024-02-01,debit,shopping,500,SHOPPING PURCHASE,2
SBI10004,2024-02-02,credit,savings_transfer,1315,SELF TRANSFER TO SAVINGS,2
SBI10004,2024-02-09,debit,entertainment,518,ENTERTAINMENT PURCHASE,2
SBI10004,2024-02-10,debit,fuel,1998,FUEL PURCHASE,2
SBI10004,2024-02-12,debit,shopping,4445,SHOPPING PURCHASE,2
SBI10004,2024-02-12,debit,dining,787,DINING PURCHASE,2
SBI10004,2024-02-17,debit,entertainment,1510,ENTERTAINMENT PURCHASE,2
SBI10004,2024-02-18,debit,shopping,4144,SHOPPING PURCHASE,2
SBI10004,2024-02-19,debit,dining,1423,DINING PURCHASE,2
SBI10004,2024-02-21,debit,fuel,2810,FUEL PURCHASE,2
SBI10004,2024-02-23,debit,dining,1304,DINING PURCHASE,2
SBI10004,2024-02-26,debit,travel,1033,TRAVEL PURCHASE,2
SBI10004,2024-02-28,debit,medical,2150,MEDICAL PURCHASE,2
SBI10004,2024-02-28,debit,fuel,2714,FUEL PURCHASE,2
SBI10004,2024-03-01,credit,salary,24204,SALARY CREDIT,3
SBI10004,2024-03-03,credit,savings_transfer,3155,SELF TRANSFER TO SAVINGS,3
SBI10004,2024-03-05,debit,shopping,5717,SHOPPING PURCHASE,3
SBI10004,2024-03-07,debit,utilities,479,UTILITIES PURCHASE,3
SBI10004,2024-03-08,debit,medical,1886,MEDICAL PURCHASE,3
SBI10004,2024-03-10,debit,travel,948,TRAVEL PURCHASE,3
SBI10004,2024-03-11,debit,fuel,537,FUEL PURCHASE,3
SBI10004,2024-03-11,debit,shopping,5812,SHOPPING PURCHASE,3
SBI10004,2024-03-14,debit,entertainment,711,ENTERTAINMENT PURCHASE,3
SBI10004,2024-03-15,debit,shopping,2040,SHOPPING PURCHASE,3
SBI10004,2024-03-21,debit,fuel,2354,FUEL PURCHASE,3
SBI10004,2024-03-22,debit,entertainment,690,ENTERTAINMENT PURCHASE,3
